tract,AgeDependencyRatio,Population,Median_Age,PctMale,PctFemale,PctBlack,PctAmIndian_AlaskaNat,PctAsian,PctNatHaw_PacIsland,PctOther,PctMixed,PctHispanicLatino,PctWhiteNonHisp,PctMinority,Age5andUp,LimitedEngProf5andUP,Age25andUp,LessThanHS,HSOnly,SomeCollege,Bachelors,Grad_Professional,TotalPop16Over,Unemployment,PovertyN,PercPoverty,Total,NativeN,PctNative,ForeignBornN,PctForeignBorn,TotalHHN,FemaleHHN,FemaleHHPct,MedianIncomeHH,TotalHH,OwnerOccN,OwnerOccAfter2015,OwnerOcc2010_2014,OwnerOcc_2009,OwnerOcc2000_2009,OwnerOcc1990_1999,OwnerOcc1980_1989,OwnerOcc1970_1979,RenterOccN,RenterOcc2015,RenterOcc2010_2014,RenterOcc2009,RenterOcc2000_2009,RenterOcc1990_1999,RenterOcc1980_1989,RenterOcc1979,AllOcc2009N,AllOcc2009Pct,TotalPop5Over,PctEnglishVeryWell,PctEnglishLessWell,PctEnglishLessWell_Spanish,UnitsTotal,OccUnitsN,PctOccHousing,VacantUnitsN,PctVacHousing,HHNOcc,OwnOccNOcc,OwnerOcc1_01_1_5,OwnerOcc1_51_2_0,OwnerOcc2_01_more_or_mor,OwnerOcc01_01_more,RentOccNOcc,RenterOc1_01_1_5,RenterOc1_51_2_0,RenterOc2_01_more_oor_mo,RenterOcc1_01_more,AnyOcc1_01_moreN,AnyOcc1_01_morePct,PovPopMeasured,BelowPovN,PctBelowPoverty,Below50PovN,PctBelow50Pct,Below125PovN,PctBelow125Pov,Below150PovN,PctBelow150Pov,Below185PovN,PctBelow185Pov,Below200PovN,PctBelow200Pov,TotalHHAssist,PublicAssistanceN,PublicAssistancePct,NoPublicAssistanceN
140800,37.9,6656,38.2,52.4,47.6,4.1,0,7.2,0,11.9,5.1,33.2,50.5,49.5,6284,25.9,5105,15.4,17.7,17.3,26.1,23.6,5596,7.5,416,0.074338813,6656,4380,0.658052885,2276,0.341947115,2669,74,0.02772574,67236,2669,1272,15,175,1082,481,203,221,177,1397,39,592,766,606,157,3,0,1848,0.692394155,6284,74.1,25.9,63.3,2847,2669,0.937478047,178,0.062521953,2669,1272,0,11,0,11,1397,24,0,0,24,35,0.013113526,6576,695,10.6,281,0.042731144,1095,0.166514599,1337,0.203315085,1732,0.263381995,1818,0.276459854,2669,321,0.120269764,2348
150200,35.5,7442,38.6,49.7,50.3,1.6,0,6.6,0,15.5,4,26.3,64.4,35.6,7138,20.6,5659,13.6,23.6,31.9,22.1,8.6,6280,9,655,0.104299363,7442,5134,0.689868315,2308,0.310131685,3054,623,0.203994761,62308,3054,1408,0,210,1198,510,322,162,204,1646,53,898,695,411,177,36,71,1893,0.619842829,7138,79.4,20.6,23,3364,3054,0.9078478,310,0.0921522,3054,1408,39,13,0,52,1646,0,35,0,35,87,0.02848723,7418,1036,14,296,0.039902939,1289,0.173766514,1930,0.260177946,2045,0.275680776,2254,0.303855487,3054,503,0.16470203,2551
150300,51.2,8298,38.5,50.7,49.3,3.2,0,1.1,0,20.5,7.2,37.5,52.9,47.1,7785,13.7,5525,8.9,32.6,25.6,21.5,11.4,6759,6.7,467,0.069093061,8298,6293,0.758375512,2005,0.241624488,2974,514,0.172831204,70020,2974,1681,0,132,1549,496,539,194,320,1293,73,417,803,680,53,51,19,2352,0.790854069,7785,86.3,13.7,13.9,3119,2974,0.953510741,145,0.046489259,2974,1681,0,0,0,0,1293,88,0,0,88,88,0.029589778,8297,997,12,384,0.046281789,1061,0.127877546,1226,0.147764252,2221,0.267687116,2275,0.274195492,2974,457,0.153665098,2517
150401,58.2,4965,39.8,48.8,51.2,1.1,0.2,4.5,0,8.6,6.3,21.6,70,30,4729,16.2,3436,11.3,28.3,27.7,23.5,9.2,3891,9.1,247,0.063479825,4965,3617,0.728499496,1348,0.271500504,1844,281,0.152386117,59107,1844,1013,9,97,907,380,165,177,185,831,0,313,518,416,63,0,39,1425,0.772776573,4729,83.8,16.2,20.9,1950,1844,0.945641026,106,0.054358974,1844,1013,4,8,0,12,831,0,9,0,9,21,0.011388286,4965,539,10.9,329,0.066263847,579,0.116616314,817,0.164551863,1227,0.247129909,1314,0.264652568,1844,263,0.142624729,1581
150402,37.2,3640,36.2,50.3,49.7,0,0,4.5,0,21.4,1.3,41.2,53.5,46.5,3482,20.5,2443,15.7,29.3,30.2,16.8,8,3083,7.1,133,0.043139799,3640,2383,0.65467033,1257,0.34532967,1218,152,0.124794745,57339,1218,830,0,83,747,253,213,117,164,388,0,114,274,236,38,0,0,1021,0.838259442,3482,79.5,20.5,20.2,1485,1218,0.82020202,267,0.17979798,1218,830,0,0,0,0,388,0,0,0,0,0,0,3640,220,6,131,0.035989011,279,0.076648352,566,0.155494505,788,0.216483516,803,0.220604396,1218,218,0.178981938,1000
150501,54.9,3907,39,46,54,3.1,0,3.6,0,11.4,3.8,29.2,62,38,3697,19.1,2756,12,30.8,29.4,21.9,5.9,3174,11.8,198,0.062381853,3907,2783,0.712311236,1124,0.287688764,1300,219,0.168461538,61579,1300,1010,0,116,894,335,318,96,145,290,23,98,169,163,6,0,0,1063,0.817692308,3697,80.9,19.1,15.2,1430,1300,0.909090909,130,0.090909091,1300,1010,0,0,0,0,290,31,0,0,31,31,0.023846154,3907,417,10.7,11,0.002815459,557,0.142564628,679,0.173790632,836,0.213974917,892,0.228308165,1300,102,0.078461538,1198
150502,46.1,4720,40.1,51.9,48.1,0.5,0,8.5,0,25.4,3.3,41.2,49.6,50.4,4373,31.9,3371,18,29.7,34.7,12.2,5.4,3855,9.7,497,0.128923476,4720,3159,0.669279661,1561,0.330720339,1535,290,0.188925081,50118,1535,924,0,166,758,290,213,138,117,611,28,164,419,291,108,14,6,1177,0.766775244,4373,68.1,31.9,41.6,1648,1535,0.931432039,113,0.068567961,1535,924,21,0,0,21,611,0,6,7,13,34,0.022149837,4694,664,14.1,309,0.065828718,764,0.162760971,1129,0.240519813,1915,0.407967618,1972,0.42011078,1535,279,0.181758958,1256
150600,55.3,4112,33.6,48.8,51.2,0,0,4.5,0,22.1,2.4,40.9,53.4,46.6,3755,16,2660,7.6,41,29.9,14.5,7,3143,11.2,170,0.054088451,4112,3268,0.794747082,844,0.205252918,1380,189,0.136956522,54691,1380,941,10,135,796,213,274,163,146,439,20,171,248,192,37,9,10,1044,0.756521739,3755,84,16,24.8,1548,1380,0.891472868,168,0.108527132,1380,941,72,0,0,72,439,29,0,0,29,101,0.073188406,4112,435,10.6,247,0.060068093,628,0.152723735,866,0.210603113,1039,0.252675097,1171,0.284776265,1380,162,0.117391304,1218
150700,54,4577,39.9,52.5,47.5,0.4,0.2,3.2,0,13.8,2.5,46.5,48.4,51.6,4313,28,3189,16.8,30.3,29.9,13.1,9.8,3684,8.7,300,0.081433225,4577,3090,0.675114704,1487,0.324885296,1509,114,0.07554672,62056,1509,1104,0,51,1053,408,398,69,178,405,31,207,167,58,83,18,8,1220,0.808482439,4313,72,28,33.6,1666,1509,0.905762305,157,0.094237695,1509,1104,28,0,0,28,405,52,0,0,52,80,0.053015242,4568,641,14,180,0.039404553,942,0.206217163,1117,0.244527145,1267,0.277364273,1342,0.293782837,1509,138,0.091451292,1371
150800,42.5,5412,34.9,55.1,44.9,1.4,0,6.2,0,29.9,3.1,58.6,33,67,5074,28.2,3754,28,28,23.5,11.8,8.7,4382,10.8,308,0.07028754,5412,3616,0.668144863,1796,0.331855137,1772,169,0.09537246,60746,1772,895,0,111,784,320,201,116,147,877,0,538,339,264,67,0,8,1123,0.633747178,5074,71.8,28.2,48.1,1867,1772,0.949116229,95,0.050883771,1772,895,15,0,0,15,877,10,11,0,21,36,0.020316027,5412,542,10,302,0.055801922,755,0.139504804,1055,0.194937177,1543,0.285107169,1842,0.340354767,1772,283,0.159706546,1489
